case_id,category,collar,sleeve_style,cuff,placket,silhouette,garment_length,collar_orig,sleeve_style_orig,cuff_orig,placket_orig,silhouette_orig,garment_length_orig,pieces,edge_chains,notches,notch_matched,notch_unmatched,match_rate,piece_assembly,review_state,updated_at,notes
C2330115,shirt,pointed,regular,regular,full,regular-fit,regular,,,,,,,18,76,26,26,0,100.0%,remote_v1_artifact,reviewed,2026-08-08T10:01:49.198492+00:00,领型为立领不在四类内故选unknown；常规装袖；常规袖口；全开襟排扣；合身廓形；常规衣长
C2431027,shirt,unknown,regular,gathered,half,a-line,regular,unknown,regular,gathered,half,a-line,regular,15,42,22,22,0,100.0%,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:35:16.422901+00:00,V型敞开尖领；常规袖；袖口抽褶收口；半开襟；宽松H型；常规衣长
C2431055,shirt,non_composable,puff,unknown,full,fitted-x,regular,non_composable,puff,unknown,full,fitted-x,regular,20,72,0,0,0,-,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:03:10.131224+00:00,
C2431105,shirt,pointed,puff,regular,full,regular-fit,regular,pointed,puff,regular,full,regular-fit,regular,38,68,0,0,0,-,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:35:45.251093+00:00,经典正装尖领；袖山和袖身有蓬起的泡泡袖效果；袖口为常规克夫；前门襟全开；合身廓形；常规衣长。
C2431239,shirt,non_composable,regular,gathered,unknown,a-line,regular,non_composable,regular,gathered,unknown,a-line,regular,10,57,16,16,0,100.0%,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:04:24.945636+00:00,领型为荷叶边V领但不在四类内故为unknown；常规袖带克夫；半开襟带系带；合身廓形；常规衣长。
C2431245,shirt,bow-tie,regular,regular,full,relaxed-h,regular,bow-tie,regular,regular,full,relaxed-h,regular,6,54,8,8,0,100.0%,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:36:26.128068+00:00,领口带有可系结的飘带；常规长袖配克夫；全开襟前门襟；宽松直筒H型廓形；常规衣长
C2431354,shirt,casual-wide-lapel,regular,regular,full,relaxed-h,regular,casual-wide-lapel,regular,regular,full,relaxed-h,regular,8,94,16,16,0,100.0%,remote_v1_artifact,edge_bindings_pending,2026-08-08T10:05:19.408232+00:00,
C2431381,shirt,pointed,unknown,regular,half,relaxed-h,short,,,,,,,3,48,18,18,0,100.0%,remote_v1_artifact,reviewed,2026-08-08T10:36:55.914633+00:00,V型敞开尖领；常规短袖；袖口平直无克夫；半开襟；宽松H型廓形；短款衣长。
C2530027,shirt,open-v-pointed,regular,regular,half,relaxed-h,regular,,,,,,,4,43,4,4,0,100.0%,remote_v1_artifact,reviewed,2026-08-08T10:37:21.793023+00:00,正装尖领；常规袖；常规袖克夫；全开襟；宽松H型；常规衣长
C2530028,shirt,open-v-pointed,regular,regular,half,relaxed-h,regular,,,,,,,3,37,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:37:31.917473+00:00,V型敞开尖领；常规袖；常规袖口；半开襟；宽松H型廓形；常规衣长
C2530029,shirt,open-v-pointed,regular,regular,full,oversized,regular,,,,,,,7,44,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:38:41.374562+00:00,休闲翻领；常规装袖；常规袖克夫；全开襟；Oversize廓形；常规衣长
C2530093,shirt,pointed,regular,regular,full,relaxed-h,short,,,,,,,5,76,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:38:56.494132+00:00,正装尖领；常规装袖配克夫袖口；全开襟；宽松且下摆较短的短款版型
C2530098,shirt,open-v-pointed,regular,unknown,full,relaxed-h,long,,,,,,,3,69,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:39:22.063145+00:00,V型敞开尖领；常规短袖，平直袖口；全开襟；宽松H型；常规衣长。
C2530110,shirt,bow-tie,regular,regular,full,a-line,regular,,,,,,,5,45,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:40:03.434657+00:00,领口有系带可系成蝴蝶结；常规长袖；常规袖克夫；前门襟全开；宽松直筒H型；常规衣长。
C2530117,shirt,bow-tie,regular,regular,full,a-line,regular,,,,,,,4,77,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:40:32.545839+00:00,系带蝴蝶结领；常规装袖；常规克夫袖口；全开襟；合身廓形；常规衣长
C2530128,shirt,bow-tie,regular,regular,full,a-line,regular,,,,,,,4,46,0,0,0,-,remote_v1_artifact,reviewed,2026-08-08T10:40:56.374609+00:00,系带蝴蝶结领；常规装袖；常规克夫；全开襟；合身廓形；常规衣长
C2530131,shirt,non_composable,bell,unknown,non_composable,relaxed-h,regular,,,,,,,6,106,0,0,0,-,local_assembly_v1,reviewed,2026-08-08T10:07:18.884386+00:00,立领结构不在四类领型词表内故判为unknown；常规袖；无可见前门襟；宽松H型；常规衣长
